Period,GDP_YoY%,CPI_YoY%,Combined_Regime
2008-07-31,0.0127,4.05,3
2008-08-31,0.0127,3.83,3
2008-09-30,0.0035,3.64,3
2008-10-31,0.0035,3.17,3
2008-11-30,0.0035,2.12,4
2008-12-31,-0.0185,1.58,4
2009-01-31,-0.0185,1.13,2
2009-02-28,-0.0185,1.18,2
2009-03-31,-0.0499,0.57,2
2009-04-30,-0.0499,0.61,2
2009-05-31,-0.0499,0.04,2
2009-06-30,-0.0454,-0.14,2
2009-07-31,-0.0454,-0.64,2
2009-08-31,-0.0454,-0.16,2
2009-09-30,-0.0365,-0.33,2
2009-10-31,-0.0365,-0.13,2
2009-11-30,-0.0365,0.48,2
2009-12-31,-0.0148,0.93,2
2010-01-31,-0.0148,0.95,2
2010-02-28,-0.0148,0.85,2
2010-03-31,0.0123,1.59,3
2010-04-30,0.0123,1.63,3
2010-05-31,0.0123,1.69,3
2010-06-30,0.022,1.49,3
2010-07-31,0.022,1.72,3
2010-08-31,0.022,1.58,3
2010-09-30,0.0228,1.88,3
2010-10-31,0.0228,1.95,3
2010-11-30,0.0228,1.91,3
2010-12-31,0.0239,2.21,3
2011-01-31,0.0239,2.3,3
2011-02-28,0.0239,2.43,3
2011-03-31,0.0319,2.67,3
2011-04-30,0.0319,2.82,3
2011-05-31,0.0319,2.72,3
2011-06-30,0.0218,2.71,3
2011-07-31,0.0218,2.56,3
2011-08-31,0.0218,2.54,3
2011-09-30,0.0175,2.98,3
2011-10-31,0.0175,3.03,3
2011-11-30,0.0175,3.03,3
2011-12-31,0.0082,2.76,3
2012-01-31,0.0082,2.66,3
2012-02-29,0.0082,2.73,3
2012-03-31,-0.0053,2.67,4
2012-04-30,-0.0053,2.59,4
2012-05-31,-0.0053,2.43,4
2012-06-30,-0.009,2.37,4
2012-07-31,-0.009,2.41,4
2012-08-31,-0.009,2.62,4
2012-09-30,-0.0109,2.61,4
2012-10-31,-0.0109,2.49,4
2012-11-30,-0.0109,2.2,4
2012-12-31,-0.0119,2.22,4
2013-01-31,-0.0119,1.99,4
2013-02-28,-0.0119,1.85,4
2013-03-31,-0.0131,1.74,4
2013-04-30,-0.0131,1.17,4
2013-05-31,-0.0131,1.43,4
2013-06-30,-0.003,1.61,4
2013-07-31,-0.003,1.61,4
2013-08-31,-0.003,1.34,2
2013-09-30,0.0018,1.09,2
2013-10-31,0.0018,0.74,2
2013-11-30,0.0018,0.85,1
2013-12-31,0.0086,0.85,1
2014-01-31,0.0086,0.76,1
2014-02-28,0.0086,0.71,1
2014-03-31,0.0189,0.47,1
2014-04-30,0.0189,0.71,1
2014-05-31,0.0189,0.49,1
2014-06-30,0.0148,0.49,1
2014-07-31,0.0148,0.37,1
2014-08-31,0.0148,0.36,1
2014-09-30,0.0164,0.32,1
2014-10-31,0.0164,0.38,1
2014-11-30,0.0164,0.28,1
2014-12-31,0.0176,-0.17,1
2015-01-31,0.0176,-0.6,1
2015-02-28,0.0176,-0.29,1
2015-03-31,0.0223,-0.07,1
2015-04-30,0.0223,0.21,1
2015-05-31,0.0223,0.6,1
2015-06-30,0.0245,0.5,1
2015-07-31,0.0245,0.54,1
2015-08-31,0.0245,0.44,1
2015-09-30,0.0237,0.2,1
2015-10-31,0.0237,0.39,1
2015-11-30,0.0237,0.13,1
2015-12-31,0.0247,0.25,1
2016-01-31,0.0247,0.33,1
2016-02-29,0.0247,-0.12,1
2016-03-31,0.0184,-0.04,1
2016-04-30,0.0184,-0.26,1
2016-05-31,0.0184,-0.12,1
2016-06-30,0.0163,0.05,1
2016-07-31,0.0163,0.17,1
2016-08-31,0.0163,0.22,1
2016-09-30,0.017,0.4,1
2016-10-31,0.017,0.51,1
2016-11-30,0.017,0.59,1
2016-12-31,0.0196,1.1,1
2017-01-31,0.0196,1.72,3
2017-02-28,0.0196,1.95,3
2017-03-31,0.0221,1.53,3
2017-04-30,0.0221,1.9,3
2017-05-31,0.0221,1.38,3
2017-06-30,0.0272,1.3,3
2017-07-31,0.0272,1.34,3
2017-08-31,0.0272,1.54,3
2017-09-30,0.0298,1.56,3
2017-10-31,0.0298,1.37,3
2017-11-30,0.0298,1.53,3
2017-12-31,0.0304,1.34,3
2018-01-31,0.0304,1.3,3
2018-02-28,0.0304,1.11,3
2018-03-31,0.0231,1.4,3
2018-04-30,0.0231,1.22,3
2018-05-31,0.0231,1.95,3
2018-06-30,0.0205,1.97,3
2018-07-31,0.0205,2.19,3
2018-08-31,0.0205,2.08,3
2018-09-30,0.0137,2.08,3
2018-10-31,0.0137,2.29,3
2018-11-30,0.0137,1.92,3
2018-12-31,0.012,1.52,3
2019-01-31,0.012,1.39,3
2019-02-28,0.012,1.49,3
2019-03-31,0.0182,1.4,3
2019-04-30,0.0182,1.72,3
2019-05-31,0.0182,1.22,1
2019-06-30,0.0169,1.27,1
2019-07-31,0.0169,1.02,1
2019-08-31,0.0169,1.01,1
2019-09-30,0.0182,0.83,1
2019-10-31,0.0182,0.73,1
2019-11-30,0.0182,0.96,1
2019-12-31,0.0119,1.33,1
2020-01-31,0.0119,1.36,1
2020-02-29,0.0119,1.22,1
2020-03-31,-0.0282,0.75,2
2020-04-30,-0.0282,0.31,2
2020-05-31,-0.0282,0.09,2
2020-06-30,-0.1394,0.27,2
2020-07-31,-0.1394,0.39,2
2020-08-31,-0.1394,-0.17,2
2020-09-30,-0.0405,-0.31,2
2020-10-31,-0.0405,-0.28,2
2020-11-30,-0.0405,-0.29,2
2020-12-31,-0.0377,-0.27,2
2021-01-31,-0.0377,0.91,2
2021-02-28,-0.0377,0.94,2
2021-03-31,0.0013,1.33,2
2021-04-30,0.0013,1.62,4
2021-05-31,0.0013,1.98,4
2021-06-30,0.152,1.9,4
2021-07-31,0.152,2.16,4
2021-08-31,0.152,2.96,4
2021-09-30,0.0509,3.36,4
2021-10-31,0.0509,4.05,4
2021-11-30,0.0509,4.87,4
2021-12-31,0.0556,4.96,4
2022-01-31,0.0556,5.11,4
2022-02-28,0.0556,5.87,4
2022-03-31,0.0553,7.44,4
2022-04-30,0.0553,7.44,4
2022-05-31,0.0553,8.05,4
2022-06-30,0.0412,8.64,4
2022-07-31,0.0412,8.87,4
2022-08-31,0.0412,9.14,4
2022-09-30,0.028,9.93,3
2022-10-31,0.028,10.62,3
2022-11-30,0.028,10.05,3
2022-12-31,0.0192,9.2,3
2023-01-31,0.0192,8.64,3
2023-02-28,0.0192,8.5,3
2023-03-31,0.0186,6.88,3
2023-04-30,0.0186,6.96,3
2023-05-31,0.0186,6.1,3
2023-06-30,0.0103,5.52,3
2023-07-31,0.0103,5.31,3
2023-08-31,0.0103,5.24,3
2023-09-30,0.0047,4.34,3
2023-10-31,0.0047,2.9,3
2023-11-30,0.0047,2.4,3
2023-12-31,0.0063,2.93,3
2024-01-31,0.0063,2.77,3
2024-02-29,0.0063,2.58,3
2024-03-31,0.0046,2.43,3
2024-04-30,0.0046,2.37,3
2024-05-31,0.0046,2.57,3
2024-06-30,0.006,2.52,3
2024-07-31,0.006,2.58,3
2024-08-31,0.006,2.17,3
